,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,EQUIPMENT,,,,,,,TOWING PERSONNEL,,,,SERVICE  TYPE,,,,,,,,,
S/N,DATE,DAY,TIME,A/C Regn,A/C Type,PB/TOW,PB,TOW,FROM,TO,AT1,AT2,AT3,AT4,AT5,AT6,AT10,OPERATOR,ASSISTANT 1,ASSISTANT 2,ASSISTANT 3,FBO,"NON
FBO",MXX,"NON
JET","HGR /
CMP CTR",Checked by,REMARKS,JOB NO.,ERROR,ERROR REMARKS
84,7-Sep-26,,1705,VPCSL,G650,,,1,CPAB1,AG13,,,,,,,1,SUK,JOE,KAT,MUS,,,1,,,SUK,,PAS,,
85,7-Sep-26,,1730,T7MGM,G450,,,1,GRE,AG13,,1,,,,,,KAM,MUS,WEI,CHIN,,,1,,,SUK,,PAS,,
86,7-Sep-26,,1815,T7BOSS,A319,,,1,AG11,GRE,,1,,,,,,KAM,MUS,FOO,GAB,,,1,,,SUK,,UV,,
87,7-Sep-26,,1930,T7G45,G450,,,1,AG13,B4,,,,,,,1,SUK,HDT,MUS,SAM,1,,,,,SUK,,24979,,
88,7-Sep-26,,1940,PKBKS,C56LX,,,1,B2,B7,,,,1,,,,SAM,HDT,,,1,,,,,SUK,,25194,,
89,7-Sep-26,,1950,T710MAX,G450,,,1,AG11,B1,,,,,,,1,SUK,MUS,HDT,SAM,,,1,,,SUK,,PAS,,
90,7-Sep-26,,2000,T7BOSS,A319,,,1,GRE,AG11,,1,,,,,,KAM,MUS,SUK,SAM,,,1,,,SUK,,UV,,
91,8-Sep-26,,0710,VPCMA,B738,,,1,R1,GRE,,1,,,,,,SUK,SHF,ROL,,,,1,,,SAM,,24976,,
92,8-Sep-26,,0830,VPCMA,B738,,,1,GRE,R1,,1,,,,,,SUK,SHF,ROL,,,,1,,,SAM,,24976,,
93,8-Sep-26,,0935,T7JSC8,G450,1,,,AG11,B6,,,,,,,1,HDT,MUS,SHA,JOE,,,1,,,SAM,,PAS,,
94,8-Sep-26,,0935,VPCDE,GA6C,1,,,CPAC1,GRE,,,,1,,,,SAM,KHOR,HAN,,,,1,,,SAM,,UV,,
95,8-Sep-26,,0945,VQBQV,B737,1,,,C52,AG11,,1,,,,,,SUK,SAZ,ZAR,WAF,,,1,,,SAM,,BAS,,
96,8-Sep-26,,1030,VPCMA,B738,,,1,R1,AG11,,1,,,,,,SUK,MUS,FOO,WEI,,,1,,,SAM,CUST VISIT,24976,,
97,8-Sep-26,,1045,VPCDE,GA6C,,,1,GRE,CPAC1,,,,1,,,,SAM,KHOR,HAN,,,,1,,,SAM,,UV,,
98,8-Sep-26,,1520,VPCMA,B738,1,,,AG11,R1,,1,,,,,,SUK,ZAR,JOE,WAF,,,1,,,SAM,,24976,,
99,8-Sep-26,,1605,B3276,G650,1,,,AG11,GRE,,,,1,,,,SAM,WAN,AWI,RAZ,,,1,,,SAM,,PAS,,
100,8-Sep-26,,1615,T7808,G650,1,,,Z5,D51,,,,,,,1,SUK,MUS,NAV,RON,1,,,,1,SAM,,25250,,
101,8-Sep-26,,1630,T7G45,G450,,,1,B4,B59,,1,,,,,,HDT,ALI,,,1,,,,,SAM,,24979,,
102,8-Sep-26,,1655,T7VIC,GA8C,1,,,Z4,D55,,,,,,,1,SUK,MUS,ZAR,RON,,1,,,1,SAM,,WOA,,
103,8-Sep-26,,1705,B3276,G650,,,1,GRE,AG11,,,,1,,,,SAM,WAN,AWI,RAZ,,,1,,,SAM,,PAS,,
104,8-Sep-26,,1845,T7MGM,G450,1,,,AG13,B6,,,,1,,,,SAM,MUS,SUK,HDT,,,1,,,SAM,,PAS,,
105,8-Sep-26,,1900,MSZSZ,G650,,,1,AG13,CPAB1,,,,,,,1,SUK,MUS,HDT,SAM,,,1,,,SAM,,PAS,,
